Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Boston, MA metro area	June 2021	$650K	4.8%	20.4%	6,426	31.6%	55.9%	7,513	22.8%	9.3%	7,060	13.9%	-21.9%	17	-1	-5	105.1%	0.9%	5.2%
Boston, MA metro area	July 2021	$635K	-2.3%	14.4%	5,892	-8.3%	7.1%	5,607	-25.4%	-12.7%	7,159	1.4%	-20.6%	18	1	-2	104.5%	-0.6%	3.9%
Boston, MA metro area	August 2021	$625K	-1.6%	9.8%	5,683	-3.5%	2.0%	4,985	-11.1%	-13.7%	6,588	-8.0%	-22.5%	19	1	-2	103.6%	-0.9%	2.7%
Boston, MA metro area	September 2021	$605K	-3.2%	8.0%	5,126	-9.8%	-2.0%	6,590	32.2%	-4.3%	7,933	20.4%	-16.3%	20	1	0	102.8%	-0.7%	1.8%
Boston, MA metro area	October 2021	$600K	-0.8%	9.1%	4,450	-13.2%	-15.5%	4,774	-27.6%	-23.3%	6,904	-13.0%	-26.1%	20	0	0	102.3%	-0.5%	1.1%
Boston, MA metro area	November 2021	$610K	1.7%	10.9%	4,767	7.1%	2.2%	3,439	-28.0%	-5.3%	5,131	-25.7%	-30.9%	20	0	-1	102.2%	-0.1%	0.8%
Boston, MA metro area	December 2021	$620K	1.6%	12.7%	4,894	2.7%	-7.5%	1,871	-45.6%	-17.1%	3,238	-36.9%	-36.3%	21	1	-1	102.0%	-0.2%	1.2%
Boston, MA metro area	January 2022	$595K	-4.0%	6.9%	3,066	-37.4%	-9.7%	2,765	47.8%	-17.5%	3,370	4.1%	-35.4%	22	1	-2	101.6%	-0.4%	1.1%
Boston, MA metro area	February 2022	$595K	0.0%	8.2%	2,212	-27.9%	-14.3%	3,483	26.0%	-9.1%	3,606	7.0%	-29.6%	22	0	-5	102.4%	0.8%	2.0%
Boston, MA metro area	March 2022	$637K	7.1%	10.4%	3,224	45.8%	-11.9%	5,939	70.5%	-4.2%	4,905	36.0%	-13.6%	19	-3	-1	104.3%	1.9%	2.2%
Boston, MA metro area	April 2022	$675K	6.0%	12.3%	3,606	11.8%	-16.0%	5,928	-0.2%	-14.8%	5,668	15.6%	-13.5%	17	-2	-2	105.6%	1.3%	2.4%
Boston, MA metro area	May 2022	$689K	2.1%	11.2%	4,521	25.4%	-7.4%	6,340	7.0%	3.6%	6,072	7.1%	-2.1%	16	-1	-2	106.3%	0.7%	2.1%
Boston, MA metro area	June 2022	$705K	2.3%	8.5%	5,713	26.4%	-11.1%	6,794	7.2%	-9.6%	7,246	19.3%	2.6%	16	0	-1	105.9%	-0.4%	0.8%
Boston, MA metro area	July 2022	$689K	-2.3%	8.4%	4,664	-18.4%	-20.8%	4,788	-29.5%	-14.6%	7,299	0.7%	2.0%	18	2	0	104.1%	-1.8%	-0.3%
Boston, MA metro area	August 2022	$675K	-2.0%	8.0%	4,918	5.4%	-13.5%	3,964	-17.2%	-20.5%	6,395	-12.4%	-2.9%	20	2	1	102.2%	-2.0%	-1.4%
Boston, MA metro area	September 2022	$649K	-3.9%	7.3%	4,017	-18.3%	-21.6%	5,150	29.9%	-21.9%	7,331	14.6%	-7.6%	21	1	1	101.3%	-0.8%	-1.5%
Boston, MA metro area	October 2022	$630K	-2.9%	5.0%	3,433	-14.5%	-22.9%	3,889	-24.5%	-18.5%	6,934	-5.4%	0.4%	21	0	1	100.7%	-0.6%	-1.6%
Boston, MA metro area	November 2022	$640K	1.6%	4.9%	3,309	-3.6%	-30.6%	2,799	-28.0%	-18.6%	5,804	-16.3%	13.1%	22	1	2	100.4%	-0.3%	-1.8%
Boston, MA metro area	December 2022	$605K	-5.5%	-2.4%	3,282	-0.8%	-32.9%	1,277	-54.4%	-31.7%	4,056	-30.1%	25.3%	25	3	4	99.6%	-0.8%	-2.4%
Boston, MA metro area	January 2023	$610K	0.8%	2.5%	2,163	-34.1%	-29.5%	2,450	91.9%	-11.4%	4,123	1.7%	22.3%	32	7	10	99.2%	-0.4%	-2.4%
Boston, MA metro area	February 2023	$595K	-2.5%	0.0%	1,822	-15.8%	-17.6%	2,641	7.8%	-24.2%	3,986	-3.3%	10.5%	31	-1	9	99.6%	0.5%	-2.8%
Boston, MA metro area	March 2023	$650K	9.2%	2.0%	2,660	46.0%	-17.5%	4,428	67.7%	-25.4%	4,966	24.6%	1.2%	22	-9	3	100.7%	1.1%	-3.6%
Boston, MA metro area	April 2023	$668K	2.7%	-1.1%	2,577	-3.1%	-28.5%	4,088	-7.7%	-31.0%	5,190	4.5%	-8.4%	19	-3	2	102.2%	1.5%	-3.4%
Boston, MA metro area	May 2023	$700K	4.8%	1.5%	3,450	33.9%	-23.7%	5,171	26.5%	-18.4%	5,562	7.2%	-8.4%	18	-1	2	102.9%	0.8%	-3.3%
Boston, MA metro area	June 2023	$730K	4.3%	3.5%	4,483	29.9%	-21.5%	4,383	-15.2%	-35.5%	5,355	-3.7%	-26.1%	18	0	2	103.7%	0.8%	-2.2%
Boston, MA metro area	July 2023	$735K	0.7%	6.8%	3,697	-17.5%	-20.7%	3,554	-18.9%	-25.8%	5,211	-2.7%	-28.6%	19	1	1	103.1%	-0.6%	-1.1%
Boston, MA metro area	August 2023	$713K	-3.0%	5.7%	3,778	2.2%	-23.2%	3,440	-3.2%	-13.2%	4,933	-5.3%	-22.9%	19	0	-1	102.7%	-0.3%	0.6%
Boston, MA metro area	September 2023	$685K	-4.0%	5.5%	3,066	-18.8%	-23.7%	4,463	29.7%	-13.3%	5,922	20.0%	-19.2%	20	1	-1	102.1%	-0.7%	0.8%
Boston, MA metro area	October 2023	$685K	0.0%	8.7%	3,025	-1.3%	-11.9%	3,793	-15.0%	-2.5%	5,876	-0.8%	-15.3%	19	-1	-2	102.0%	-0.1%	1.3%
Boston, MA metro area	November 2023	$675K	-1.5%	5.5%	3,021	-0.1%	-8.7%	2,681	-29.3%	-4.2%	5,067	-13.8%	-12.7%	20	1	-2	101.5%	-0.5%	1.1%
Boston, MA metro area	December 2023	$670K	-0.7%	10.7%	2,685	-11.1%	-18.2%	1,252	-53.3%	-2.0%	3,546	-30.0%	-12.6%	22	2	-3	100.8%	-0.8%	1.2%
Boston, MA metro area	January 2024	$672K	0.3%	10.2%	1,990	-25.9%	-8.0%	2,715	116.9%	10.8%	3,971	12.0%	-3.7%	26	4	-6	100.1%	-0.6%	1.0%
Boston, MA metro area	February 2024	$665K	-1.1%	11.8%	1,809	-9.1%	-0.7%	3,158	16.3%	19.6%	4,303	8.4%	8.0%	24	-2	-7	100.7%	0.6%	1.1%
Boston, MA metro area	March 2024	$711K	6.9%	9.4%	2,466	36.3%	-7.3%	3,639	15.2%	-17.8%	4,411	2.5%	-11.2%	20	-4	-2	101.7%	0.9%	1.0%
Boston, MA metro area	April 2024	$713K	0.3%	6.8%	2,946	19.5%	14.3%	5,132	41.0%	25.5%	5,495	24.6%	5.9%	18	-2	-1	102.8%	1.1%	0.6%
Boston, MA metro area	May 2024	$735K	3.1%	5.0%	3,635	23.4%	5.4%	5,812	13.3%	12.4%	6,460	17.6%	16.1%	18	0	0	103.3%	0.5%	0.4%
Boston, MA metro area	June 2024	$772K	5.0%	5.7%	4,081	12.3%	-9.0%	4,818	-17.1%	9.9%	6,721	4.0%	25.5%	18	0	0	103.3%	-0.1%	-0.4%
Boston, MA metro area	July 2024	$750K	-2.8%	2.0%	4,158	1.9%	12.5%	3,863	-19.8%	8.7%	6,400	-4.8%	22.8%	19	1	0	102.7%	-0.6%	-0.4%
Boston, MA metro area	August 2024	$730K	-2.7%	2.4%	3,873	-6.9%	2.5%	3,212	-16.9%	-6.6%	5,685	-11.2%	15.2%	20	1	1	101.6%	-1.1%	-1.1%
Boston, MA metro area	September 2024	$705K	-3.4%	2.9%	3,066	-20.8%	0.0%	5,164	60.8%	15.7%	7,075	24.5%	19.5%	21	1	1	100.9%	-0.7%	-1.2%
Boston, MA metro area	October 2024	$710K	0.7%	3.6%	3,413	11.3%	12.8%	4,329	-16.2%	14.1%	6,853	-3.1%	16.6%	21	0	2	101.3%	0.4%	-0.7%
Boston, MA metro area	November 2024	$710K	0.0%	5.2%	3,086	-9.6%	2.2%	2,214	-48.9%	-17.4%	5,335	-22.2%	5.3%	21	0	1	100.8%	-0.5%	-0.7%
Boston, MA metro area	December 2024	$720K	1.4%	7.5%	3,170	2.7%	18.1%	1,384	-37.5%	10.5%	3,701	-30.6%	4.4%	25	4	3	100.3%	-0.5%	-0.5%
Boston, MA metro area	January 2025	$719K	-0.1%	6.9%	2,214	-30.2%	11.3%	2,939	112.4%	8.3%	4,251	14.9%	7.1%	32	7	6	100.1%	-0.2%	-0.1%
Boston, MA metro area	February 2025	$705K	-2.0%	6.0%	1,835	-17.1%	1.4%	2,889	-1.7%	-8.5%	4,570	7.5%	6.2%	25	-7	1	100.7%	0.7%	0.0%
Boston, MA metro area	March 2025	$725K	2.8%	2.0%	2,265	23.4%	-8.2%	4,515	56.3%	24.1%	5,576	22.0%	26.4%	20	-5	0	101.5%	0.8%	-0.1%
Boston, MA metro area	April 2025	$750K	3.4%	5.2%	2,884	27.3%	-2.1%	6,200	37.3%	20.8%	7,229	29.6%	31.6%	19	-1	1	102.3%	0.8%	-0.5%
Boston, MA metro area	May 2025	$775K	3.3%	5.4%	3,741	29.7%	2.9%	5,815	-6.2%	0.1%	8,090	11.9%	25.2%	19	0	1	102.6%	0.2%	-0.8%
Boston, MA metro area	June 2025	$799K	3.1%	3.6%	4,328	15.7%	6.1%	5,289	-9.0%	9.8%	8,322	2.9%	23.8%	19	0	1	102.2%	-0.4%	-1.1%
Boston, MA metro area	July 2025	$775K	-3.0%	3.3%	4,216	-2.6%	1.4%	4,119	-22.1%	6.6%	7,862	-5.5%	22.8%	20	1	1	101.5%	-0.7%	-1.2%
Boston, MA metro area	August 2025	$760K	-1.9%	4.1%	3,851	-8.7%	-0.6%	3,165	-23.2%	-1.5%	6,911	-12.1%	21.6%	22	2	2	100.7%	-0.8%	-0.9%
Boston, MA metro area	September 2025	$720K	-5.3%	2.1%	3,193	-17.1%	4.1%	5,638	78.1%	9.2%	8,222	19.0%	16.2%	25	3	4	100.0%	-0.7%	-0.9%
Chicago, IL metro area	January 2012	$140K	-1.8%	-8.5%	3,982	-25.9%	11.9%	8,124	57.2%	-8.7%	39,489	-1.1%	-22.2%	97	1	-26	93.8%	-0.2%	-0.3%
Chicago, IL metro area	February 2012	$135K	-3.6%	-9.1%	4,314	8.3%	23.6%	9,637	18.6%	9.7%	39,963	1.2%	-22.3%	100	3	-23	94.1%	0.4%	-0.4%
Chicago, IL metro area	March 2012	$150K	11.1%	-2.0%	5,730	32.8%	20.5%	11,616	20.5%	-7.3%	40,649	1.7%	-22.2%	102	2	-27	94.6%	0.4%	0.2%
Chicago, IL metro area	April 2012	$157K	4.3%	-2.2%	6,041	5.4%	19.2%	11,111	-4.3%	-1.5%	40,737	0.2%	-20.7%	87	-15	-42	94.8%	0.2%	0.3%
Chicago, IL metro area	May 2012	$170K	8.6%	2.9%	7,273	20.4%	26.0%	11,190	0.7%	0.0%	40,541	-0.5%	-21.6%	70	-17	-23	95.1%	0.3%	0.5%
Chicago, IL metro area	June 2012	$181K	6.5%	1.7%	7,909	8.7%	21.3%	10,763	-3.8%	2.3%	40,313	-0.6%	-21.7%	62	-8	-21	95.5%	0.4%	1.1%
Chicago, IL metro area	July 2012	$172K	-5.0%	-4.4%	7,373	-6.8%	29.3%	9,917	-7.9%	6.4%	39,699	-1.5%	-21.4%	63	1	-19	95.4%	-0.1%	1.0%
Chicago, IL metro area	August 2012	$170K	-1.2%	-2.3%	8,020	8.8%	29.2%	9,628	-2.9%	0.9%	38,413	-3.2%	-22.1%	65	2	-24	95.5%	0.1%	1.6%
Chicago, IL metro area	September 2012	$160K	-5.9%	-0.1%	6,536	-18.5%	21.4%	8,737	-9.3%	3.9%	37,532	-2.3%	-21.2%	63	-2	-24	95.7%	0.2%	1.6%
Chicago, IL metro area	October 2012	$154K	-3.7%	4.0%	7,209	10.3%	43.9%	8,665	-0.8%	8.8%	35,501	-5.4%	-22.1%	66	3	-27	95.4%	-0.2%	1.6%
Chicago, IL metro area	November 2012	$155K	0.6%	4.7%	6,630	-8.0%	37.6%	6,573	-24.1%	-2.9%	32,637	-8.1%	-24.4%	68	2	-23	95.4%	0.0%	1.6%
Chicago, IL metro area	December 2012	$151K	-2.6%	6.0%	6,430	-3.0%	19.7%	5,215	-20.7%	0.9%	29,698	-9.0%	-25.6%	69	1	-27	95.3%	-0.1%	1.4%
Chicago, IL metro area	January 2013	$141K	-6.6%	0.7%	5,455	-15.2%	37.0%	9,037	73.3%	11.2%	29,708	0.0%	-24.8%	75	6	-22	95.6%	0.3%	1.8%
Chicago, IL metro area	February 2013	$139K	-1.4%	3.0%	5,150	-5.6%	19.4%	9,615	6.4%	-0.2%	29,822	0.4%	-25.4%	74	-1	-26	95.9%	0.3%	1.8%
Chicago, IL metro area	March 2013	$155K	11.5%	3.3%	6,877	33.5%	20.0%	10,867	13.0%	-6.4%	29,589	-0.8%	-27.2%	67	-7	-35	96.2%	0.3%	1.7%
Chicago, IL metro area	April 2013	$173K	11.6%	10.5%	7,931	15.3%	31.3%	12,783	17.6%	15.0%	30,186	2.0%	-25.9%	50	-17	-37	96.8%	0.6%	2.0%
Chicago, IL metro area	May 2013	$184K	6.1%	7.9%	9,482	19.6%	30.4%	12,669	-0.9%	13.2%	30,826	2.1%	-24.0%	44	-6	-26	97.1%	0.4%	2.1%
Chicago, IL metro area	June 2013	$207K	12.8%	14.4%	9,567	0.9%	21.0%	12,064	-4.8%	12.1%	31,441	2.0%	-22.0%	40	-4	-22	97.3%	0.2%	1.8%
Chicago, IL metro area	July 2013	$203K	-2.2%	17.7%	10,134	5.9%	37.4%	11,805	-2.1%	19.0%	31,880	1.4%	-19.7%	38	-2	-25	97.5%	0.2%	2.1%
Chicago, IL metro area	August 2013	$198K	-2.2%	16.5%	9,963	-1.7%	24.2%	11,216	-5.0%	16.5%	31,861	-0.1%	-17.1%	39	1	-26	97.5%	0.0%	2.0%
Chicago, IL metro area	September 2013	$185K	-6.6%	15.7%	8,299	-16.7%	27.0%	10,060	-10.3%	15.1%	32,424	1.8%	-13.6%	41	2	-22	97.3%	-0.1%	1.7%
Chicago, IL metro area	October 2013	$175K	-5.4%	13.6%	8,098	-2.4%	12.3%	9,315	-7.4%	7.5%	32,350	-0.2%	-8.9%	44	3	-22	97.0%	-0.3%	1.6%
Chicago, IL metro area	November 2013	$170K	-2.9%	9.7%	6,639	-18.0%	0.1%	6,782	-27.2%	3.2%	28,576	-11.7%	-12.4%	51	7	-17	96.8%	-0.2%	1.4%
Chicago, IL metro area	December 2013	$175K	2.9%	15.9%	7,124	7.3%	10.8%	5,625	-17.1%	7.9%	26,187	-8.4%	-11.8%	53	2	-16	97.1%	0.3%	1.8%
Chicago, IL metro area	January 2014	$164K	-6.3%	16.3%	5,073	-28.8%	-7.0%	7,542	34.1%	-16.5%	25,904	-1.1%	-12.8%	60	7	-15	96.7%	-0.4%	1.2%
Chicago, IL metro area	February 2014	$158K	-3.7%	13.7%	4,957	-2.3%	-3.7%	9,141	21.2%	-4.9%	26,896	3.8%	-9.8%	67	7	-7	96.9%	0.1%	1.0%
Chicago, IL metro area	March 2014	$176K	11.4%	13.5%	6,226	25.6%	-9.5%	12,024	31.5%	10.6%	28,410	5.6%	-4.0%	62	-5	-5	96.8%	-0.1%	0.5%
Chicago, IL metro area	April 2014	$188K	6.5%	8.4%	7,365	18.3%	-7.1%	14,052	16.9%	9.9%	30,350	6.8%	0.5%	45	-17	-5	97.3%	0.6%	0.6%
Chicago, IL metro area	May 2014	$210K	12.0%	14.4%	8,475	15.1%	-10.6%	14,008	-0.3%	10.6%	31,753	4.6%	3.0%	37	-8	-7	97.3%	-0.1%	0.1%
Chicago, IL metro area	June 2014	$220K	4.8%	6.3%	9,676	14.2%	1.1%	13,386	-4.4%	11.0%	34,596	9.0%	10.0%	33	-4	-7	97.4%	0.1%	0.1%
Chicago, IL metro area	July 2014	$220K	0.0%	8.6%	9,613	-0.7%	-5.1%	12,454	-7.0%	5.5%	36,880	6.6%	15.7%	34	1	-4	97.4%	0.0%	-0.1%
Chicago, IL metro area	August 2014	$217K	-1.6%	9.3%	9,009	-6.3%	-9.6%	10,864	-12.8%	-3.1%	36,730	-0.4%	15.3%	40	6	1	97.0%	-0.3%	-0.5%
Chicago, IL metro area	September 2014	$198K	-8.8%	6.8%	7,923	-12.1%	-4.5%	10,686	-1.6%	6.2%	36,916	0.5%	13.9%	45	5	4	96.7%	-0.4%	-0.7%
Chicago, IL metro area	October 2014	$187K	-5.3%	6.9%	7,914	-0.1%	-2.3%	9,499	-11.1%	2.0%	35,763	-3.1%	10.6%	50	5	6	96.5%	-0.2%	-0.6%
Chicago, IL metro area	November 2014	$183K	-2.1%	7.6%	6,114	-22.7%	-7.9%	6,733	-29.1%	-0.7%	33,055	-7.6%	15.7%	55	5	4	96.3%	-0.2%	-0.5%
Chicago, IL metro area	December 2014	$184K	0.5%	5.1%	7,027	14.9%	-1.4%	5,357	-20.4%	-4.8%	29,687	-10.2%	13.4%	61	6	8	96.1%	-0.1%	-1.0%
Chicago, IL metro area	January 2015	$178K	-3.3%	8.5%	4,919	-30.0%	-3.0%	8,422	57.2%	11.7%	29,689	0.0%	14.6%	70	9	10	95.9%	-0.2%	-0.8%
Chicago, IL metro area	February 2015	$172K	-3.4%	8.9%	5,035	2.4%	1.6%	9,759	15.9%	6.8%	30,464	2.6%	13.3%	80	10	13	95.8%	-0.1%	-1.1%
Chicago, IL metro area	March 2015	$200K	16.3%	13.6%	7,197	42.9%	15.6%	13,877	42.2%	15.4%	32,552	6.9%	14.6%	72	-8	10	96.3%	0.5%	-0.4%
Chicago, IL metro area	April 2015	$210K	5.0%	12.0%	8,018	11.4%	8.9%	14,831	6.9%	5.5%	34,976	7.4%	15.2%	53	-19	8	96.8%	0.5%	-0.6%
Chicago, IL metro area	May 2015	$223K	6.2%	6.2%	9,199	14.7%	8.5%	14,060	-5.2%	0.4%	36,292	3.8%	14.3%	42	-11	5	97.0%	0.2%	-0.3%
Chicago, IL metro area	June 2015	$234K	4.9%	6.4%	11,272	22.5%	16.5%	13,508	-3.9%	0.9%	37,265	2.7%	7.7%	39	-3	6	97.2%	0.2%	-0.2%
Chicago, IL metro area	July 2015	$228K	-2.6%	3.6%	10,688	-5.2%	11.2%	12,426	-8.0%	-0.2%	37,483	0.6%	1.6%	41	2	7	97.1%	0.0%	-0.2%
Chicago, IL metro area	August 2015	$224K	-2.0%	3.2%	9,466	-11.4%	5.1%	11,020	-11.3%	1.4%	36,732	-2.0%	0.0%	45	4	5	96.9%	-0.3%	-0.2%
Chicago, IL metro area	September 2015	$210K	-6.0%	6.3%	8,486	-10.4%	7.1%	10,140	-8.0%	-5.1%	35,937	-2.2%	-2.7%	47	2	2	96.8%	0.0%	0.2%
Chicago, IL metro area	October 2015	$200K	-4.8%	7.0%	8,122	-4.3%	2.6%	9,221	-9.1%	-2.9%	34,269	-4.6%	-4.2%	53	6	3	96.6%	-0.2%	0.1%
Chicago, IL metro area	November 2015	$197K	-1.8%	7.4%	6,124	-24.6%	0.2%	6,620	-28.2%	-1.7%	30,897	-9.8%	-6.5%	56	3	1	96.4%	-0.2%	0.1%
Chicago, IL metro area	December 2015	$200K	1.8%	8.7%	7,281	18.9%	3.6%	4,955	-25.2%	-7.5%	26,979	-12.7%	-9.1%	60	4	-1	96.3%	-0.1%	0.2%
Chicago, IL metro area	January 2016	$190K	-5.0%	6.7%	5,398	-25.9%	9.7%	8,140	64.3%	-3.3%	27,016	0.1%	-9.0%	68	8	-2	96.3%	0.0%	0.4%
Chicago, IL metro area	February 2016	$190K	0.0%	10.5%	5,369	-0.5%	6.6%	11,649	43.1%	19.4%	28,826	6.7%	-5.4%	73	5	-7	96.4%	0.1%	0.6%
Chicago, IL metro area	March 2016	$210K	10.5%	5.0%	7,315	36.2%	1.6%	14,096	21.0%	1.6%	30,443	5.6%	-6.5%	65	-8	-7	96.9%	0.5%	0.6%
Chicago, IL metro area	April 2016	$231K	9.8%	9.8%	8,844	20.9%	10.3%	14,276	1.3%	-3.7%	32,009	5.1%	-8.5%	42	-23	-11	97.2%	0.3%	0.4%
Chicago, IL metro area	May 2016	$235K	2.0%	5.4%	10,053	13.7%	9.3%	13,901	-2.6%	-1.1%	33,126	3.5%	-8.7%	37	-5	-5	97.4%	0.2%	0.4%
Chicago, IL metro area	June 2016	$246K	4.7%	5.1%	11,620	15.6%	3.1%	13,481	-3.0%	-0.2%	33,764	1.9%	-9.4%	34	-3	-5	97.6%	0.2%	0.4%
Chicago, IL metro area	July 2016	$241K	-2.0%	5.7%	9,985	-14.1%	-6.6%	11,718	-13.1%	-5.7%	33,964	0.6%	-9.4%	36	2	-5	97.5%	-0.1%	0.4%
Chicago, IL metro area	August 2016	$235K	-2.5%	5.1%	10,300	3.2%	8.8%	10,964	-6.4%	-0.5%	33,277	-2.0%	-9.4%	39	3	-6	97.2%	-0.3%	0.4%
Chicago, IL metro area	September 2016	$220K	-6.4%	4.8%	8,622	-16.3%	1.6%	10,164	-7.3%	0.2%	33,009	-0.8%	-8.1%	42	3	-5	97.1%	-0.1%	0.3%
Chicago, IL metro area	October 2016	$219K	-0.3%	9.6%	7,711	-10.6%	-5.1%	8,573	-15.7%	-7.0%	31,144	-5.6%	-9.1%	47	5	-6	96.9%	-0.2%	0.3%
Chicago, IL metro area	November 2016	$215K	-1.9%	9.4%	7,112	-7.8%	16.1%	6,553	-23.6%	-1.0%	28,078	-9.8%	-9.1%	50	3	-6	96.8%	-0.1%	0.4%
Chicago, IL metro area	December 2016	$215K	0.0%	7.5%	7,060	-0.7%	-3.0%	4,595	-29.9%	-7.3%	24,060	-14.3%	-10.8%	55	5	-5	96.6%	-0.2%	0.3%
Chicago, IL metro area	January 2017	$208K	-3.3%	9.5%	5,499	-22.1%	1.9%	8,472	84.4%	4.1%	25,961	7.9%	-3.9%	63	8	-5	96.4%	-0.2%	0.1%
Chicago, IL metro area	February 2017	$209K	0.5%	10.0%	5,245	-4.6%	-2.3%	11,268	33.0%	-3.3%	30,118	16.0%	4.5%	71	8	-2	96.8%	0.4%	0.4%
Chicago, IL metro area	March 2017	$235K	12.3%	11.8%	8,431	60.7%	15.3%	14,275	26.7%	1.3%	33,084	9.8%	8.7%	64	-7	-1	97.3%	0.5%	0.4%
Chicago, IL metro area	April 2017	$246K	4.8%	6.7%	8,785	4.2%	-0.7%	13,142	-7.9%	-7.9%	35,009	5.8%	9.4%	57	-7	15	97.6%	0.3%	0.4%
Chicago, IL metro area	May 2017	$250K	1.6%	6.4%	10,760	22.5%	7.0%	14,018	6.7%	0.8%	36,045	3.0%	8.8%	54	-3	17	97.8%	0.1%	0.4%
Chicago, IL metro area	June 2017	$254K	1.6%	3.3%	12,053	12.0%	3.7%	13,574	-3.2%	0.7%	36,255	0.6%	7.4%	55	1	21	97.9%	0.1%	0.3%
Chicago, IL metro area	July 2017	$250K	-1.6%	3.7%	9,712	-19.4%	-2.7%	11,493	-15.3%	-1.9%	36,378	0.3%	7.1%	56	1	20	97.8%	-0.1%	0.3%
Chicago, IL metro area	August 2017	$240K	-4.0%	2.1%	10,119	4.2%	-1.8%	11,183	-2.7%	2.0%	35,492	-2.4%	6.7%	57	1	18	97.5%	-0.3%	0.2%
Chicago, IL metro area	September 2017	$234K	-2.5%	6.4%	8,266	-18.3%	-4.1%	10,150	-9.2%	-0.1%	35,197	-0.8%	6.6%	61	4	19	97.3%	-0.2%	0.2%
Chicago, IL metro area	October 2017	$225K	-3.8%	2.6%	7,915	-4.2%	2.6%	8,930	-12.0%	4.2%	33,018	-6.2%	6.0%	64	3	17	97.0%	-0.3%	0.1%
Chicago, IL metro area	November 2017	$225K	0.0%	4.7%	7,131	-9.9%	0.3%	6,619	-25.9%	1.0%	28,465	-13.8%	1.4%	67	3	17	97.0%	0.0%	0.2%
Chicago, IL metro area	December 2017	$227K	0.9%	5.6%	7,095	-0.5%	0.5%	4,524	-31.7%	-1.5%	22,270	-21.8%	-7.4%	71	4	16	97.0%	0.0%	0.4%
Chicago, IL metro area	January 2018	$225K	-0.9%	8.2%	5,179	-27.0%	-5.8%	8,203	81.3%	-3.2%	23,896	7.3%	-8.0%	58	-13	-5	96.7%	-0.2%	0.3%
Chicago, IL metro area	February 2018	$230K	2.2%	10.0%	5,085	-1.8%	-3.1%	10,344	26.1%	-8.2%	26,793	12.1%	-11.0%	74	16	3	96.9%	0.2%	0.1%
Chicago, IL metro area	March 2018	$245K	6.5%	4.4%	7,786	53.1%	-7.7%	13,680	32.3%	-4.2%	28,049	4.7%	-15.2%	66	-8	2	97.3%	0.4%	0.0%
Chicago, IL metro area	April 2018	$252K	2.9%	2.4%	9,099	16.9%	3.6%	14,348	4.9%	9.2%	30,893	10.1%	-11.8%	48	-18	-9	97.7%	0.4%	0.1%
Chicago, IL metro area	May 2018	$255K	1.2%	2.0%	10,580	16.3%	-1.7%	14,524	1.2%	3.6%	33,739	9.2%	-6.4%	47	-1	-7	97.8%	0.1%	0.0%
Chicago, IL metro area	June 2018	$265K	3.9%	4.3%	11,369	7.5%	-5.7%	13,179	-9.3%	-2.9%	34,819	3.2%	-4.0%	51	4	-4	98.0%	0.2%	0.1%
Chicago, IL metro area	July 2018	$255K	-3.8%	2.0%	9,806	-13.7%	1.0%	12,217	-7.3%	6.3%	35,501	2.0%	-2.4%	55	4	-1	97.8%	-0.2%	0.0%
Chicago, IL metro area	August 2018	$245K	-3.9%	2.1%	9,958	1.6%	-1.6%	11,226	-8.1%	0.4%	34,766	-2.1%	-2.0%	56	1	-1	97.5%	-0.4%	0.0%
Chicago, IL metro area	September 2018	$240K	-2.0%	2.6%	7,460	-25.1%	-9.8%	10,071	-10.3%	-0.8%	34,790	0.1%	-1.2%	60	4	-1	97.3%	-0.2%	0.0%
Chicago, IL metro area	October 2018	$232K	-3.3%	3.1%	7,869	5.5%	-0.6%	9,345	-7.2%	4.6%	33,187	-4.6%	0.5%	64	4	0	97.2%	-0.1%	0.1%
Chicago, IL metro area	November 2018	$235K	1.3%	4.4%	7,032	-10.6%	-1.4%	6,218	-33.5%	-6.1%	29,578	-10.9%	3.9%	69	5	2	96.9%	-0.2%	-0.1%
Chicago, IL metro area	December 2018	$228K	-2.9%	0.5%	6,036	-14.2%	-14.9%	4,122	-33.7%	-8.9%	25,487	-13.8%	14.4%	76	7	5	96.7%	-0.3%	-0.3%
Chicago, IL metro area	January 2019	$225K	-1.4%	0.0%	4,609	-23.6%	-11.0%	7,707	87.0%	-6.0%	26,020	2.1%	8.9%	86	10	28	96.5%	-0.2%	-0.2%
Chicago, IL metro area	February 2019	$233K	3.3%	1.1%	4,913	6.6%	-3.4%	10,197	32.3%	-1.4%	28,783	10.6%	7.4%	92	6	18	96.8%	0.3%	-0.1%
Chicago, IL metro area	March 2019	$243K	4.4%	-0.9%	6,945	41.4%	-10.8%	13,421	31.6%	-1.9%	32,308	12.2%	15.2%	75	-17	9	97.3%	0.5%	0.0%
Chicago, IL metro area	April 2019	$255K	5.0%	1.2%	8,573	23.4%	-5.8%	14,556	8.5%	1.4%	35,172	8.9%	13.9%	58	-17	10	97.5%	0.2%	-0.2%
Chicago, IL metro area	May 2019	$262K	2.7%	2.7%	10,346	20.7%	-2.2%	14,259	-2.0%	-1.8%	36,797	4.6%	9.1%	56	-2	9	97.7%	0.2%	-0.1%
